PlantID,Timestamp,RowID,PlantName,SoilPH,SoilMoisture,Temperature,Humidity,AirQuality,Status
89,2023-08-24 15:42:53.389460,8,Cucumber,6.4,23.4,39.1,75.6,35.5,Good
90,2023-08-24 15:42:53.389460,8,Spinach,5.9,25.8,24.0,73.9,17.8,Good
91,2023-08-24 15:42:53.389460,8,Pepper,7.2,39.0,28.3,86.6,84.6,Moderate
92,2023-08-24 15:42:53.389460,8,Onion,7.2,36.9,34.6,72.9,23.5,Good
93,2023-08-24 15:42:53.389460,8,Radish,7.4,23.5,30.7,79.4,91.8,Moderate
94,2023-08-24 15:42:53.389460,8,Corn,7.2,20.4,36.4,89.0,45.8,Good
95,2023-08-24 15:42:53.389460,8,Eggplant,7.1,29.2,38.7,72.4,54.3,Moderate
96,2023-08-24 15:42:53.389460,8,Bean,7.4,23.0,32.6,87.7,98.5,Moderate
97,2023-08-24 15:42:53.389460,9,Carrot,6.6,26.9,31.1,84.3,65.3,Moderate
98,2023-08-24 15:42:53.389460,9,Potatoes,6.6,20.2,34.2,70.3,18.1,Good
99,2023-08-24 15:42:53.389460,9,Tomato,7.0,34.7,22.6,89.4,88.3,Moderate
100,2023-08-24 15:42:53.389460,9,Lettuce,6.7,34.9,22.8,79.4,64.1,Moderate
101,2023-08-24 15:42:53.389460,9,Cucumber,7.2,29.7,38.5,72.1,91.0,Moderate
102,2023-08-24 15:42:53.389460,9,Spinach,6.2,27.7,28.8,81.1,73.0,Moderate
103,2023-08-24 15:42:53.389460,9,Pepper,6.4,24.2,35.8,82.4,76.4,Moderate
104,2023-08-24 15:42:53.389460,9,Onion,6.2,23.9,28.1,70.9,57.3,Moderate
105,2023-08-24 15:42:53.389460,9,Radish,5.5,35.2,24.0,85.2,41.7,Good
106,2023-08-24 15:42:53.389460,9,Corn,6.1,24.8,30.9,77.7,45.3,Good
107,2023-08-24 15:42:53.389460,9,Eggplant,6.1,22.2,28.9,75.5,97.0,Moderate
108,2023-08-24 15:42:53.389460,9,Bean,6.7,30.5,31.4,83.2,56.6,Moderate
109,2023-08-24 15:42:53.389460,10,Carrot,6.4,39.7,21.0,83.2,43.8,Good
110,2023-08-24 15:42:53.389460,10,Potatoes,6.9,29.9,20.1,85.8,52.7,Moderate
111,2023-08-24 15:42:53.389460,10,Tomato,6.8,20.7,28.6,84.0,93.0,Moderate
112,2023-08-24 15:42:53.389460,10,Lettuce,6.9,33.7,21.9,71.2,47.4,Good
113,2023-08-24 15:42:53.389460,10,Cucumber,6.3,35.5,28.8,84.7,86.6,Moderate
114,2023-08-24 15:42:53.389460,10,Spinach,7.3,27.9,37.8,76.9,14.0,Good
115,2023-08-24 15:42:53.389460,10,Pepper,6.0,21.7,25.3,84.3,9.9,Good
116,2023-08-24 15:42:53.389460,10,Onion,6.5,22.0,29.7,83.5,5.0,Good
117,2023-08-24 15:42:53.389460,10,Radish,5.6,32.7,37.9,76.7,36.1,Good
118,2023-08-24 15:42:53.389460,10,Corn,6.8,34.3,23.2,86.3,56.7,Moderate
119,2023-08-24 15:42:53.389460,10,Eggplant,5.6,34.6,35.9,88.8,67.9,Moderate
120,2023-08-24 15:42:53.389460,10,Bean,7.5,20.3,28.8,79.2,33.3,Good
121,2023-08-24 15:42:53.389460,11,Carrot,6.5,26.8,23.2,75.0,3.7,Good
122,2023-08-24 15:42:53.389460,11,Potatoes,7.4,20.9,25.6,84.1,15.7,Good
123,2023-08-24 15:42:53.389460,11,Tomato,7.3,25.2,32.1,86.5,89.6,Moderate
124,2023-08-24 15:42:53.389460,11,Lettuce,7.1,34.4,39.3,80.3,98.3,Moderate
125,2023-08-24 15:42:53.389460,11,Cucumber,5.8,34.7,31.2,71.0,57.4,Moderate
126,2023-08-24 15:42:53.389460,11,Spinach,6.5,28.4,35.9,81.5,55.3,Moderate
127,2023-08-24 15:42:53.389460,11,Pepper,6.3,29.2,20.8,73.2,36.2,Good
128,2023-08-24 15:42:53.389460,11,Onion,5.6,34.3,34.2,71.1,4.1,Good
129,2023-08-24 15:42:53.389460,11,Radish,7.5,30.0,22.1,82.3,31.0,Good
130,2023-08-24 15:42:53.389460,11,Corn,5.6,27.3,31.7,82.0,16.9,Good
131,2023-08-24 15:42:53.389460,11,Eggplant,5.6,38.0,32.1,87.4,36.4,Good
132,2023-08-24 15:42:53.389460,11,Bean,6.4,23.9,28.9,79.0,87.8,Moderate
133,2023-08-24 15:42:53.389460,12,Carrot,7.5,35.3,35.5,89.9,67.9,Moderate
134,2023-08-24 15:42:53.389460,12,Potatoes,6.7,30.7,30.7,79.0,34.0,Good
135,2023-08-24 15:42:53.389460,12,Tomato,6.4,24.5,23.6,86.3,57.8,Moderate
136,2023-08-24 15:42:53.389460,12,Lettuce,5.9,30.6,39.8,80.1,11.8,Good
137,2023-08-24 15:42:53.389460,12,Cucumber,6.8,34.7,31.2,83.1,68.3,Moderate
138,2023-08-24 15:42:53.389460,12,Spinach,6.6,26.5,27.2,87.5,98.7,Moderate
139,2023-08-24 15:42:53.389460,12,Pepper,5.5,40.0,31.5,89.8,98.5,Moderate
140,2023-08-24 15:42:53.389460,12,Onion,6.9,39.9,20.7,82.4,89.0,Moderate
141,2023-08-24 15:42:53.389460,12,Radish,5.8,26.3,33.0,71.3,48.5,Good
142,2023-08-24 15:42:53.389460,12,Corn,5.6,34.7,39.9,81.4,1.0,Good
143,2023-08-24 15:42:53.389460,12,Eggplant,6.3,33.8,33.8,76.2,67.1,Moderate
144,2023-08-24 15:42:53.389460,12,Bean,6.1,34.9,23.5,87.0,27.9,Good
